job_title,rating,company_name,industry,old title,salary_lower,salary_upper,salary,City,State,max_emp_size,min_emp_size,company_age,python,excel,hadoop,spark,aws,tableau,big_data,numpy,pandas,machine_learning,power_bi,sql,deep_learning
senior data scientist,3.9,Novartis,Biotech & Pharmaceuticals,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",69,116,127.0,Cambridge,MA,10000,10000,25,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.2,Net2Source Inc.,Staffing & Outsourcing,Data Scientist,69,116,127.0,Alpharetta,GA,5000,1001,14,1,1,1,1,0,0,0,0,0,1,0,1,1
data scientist,3.2,The Trade Desk,Internet,Data Scientist,69,116,127.0,Boulder,CO,5000,1001,12,1,0,0,1,1,0,0,0,0,1,0,1,0
data scientist,3.7,IBM,IT Services,Data Scientist- Industrial Discrete Sector Industry,69,116,127.0,Atlanta,GA,10000,10000,110,1,1,0,0,1,0,0,1,0,1,0,0,0
data scientist,4.4,Knowesis Inc.,Consulting,Data Scientist,69,116,127.0,Falls Church,VA,200,51,14,1,0,1,0,1,1,0,0,0,1,0,1,0
data scientist,3.1,MoTek Technologies,IT Services,Data Scientist,69,116,127.0,Mountain View,CA,50,1,12,1,1,0,0,0,0,0,0,0,0,0,1,0
data scientist,3.3,The Davey Tree Expert Company,Timber Operations,Data Scientist,69,116,127.0,Kent,OH,10000,10000,141,1,1,0,0,0,0,0,0,0,1,0,1,1
data scientist,3.5,HPOne,Insurance Carriers,Data Scientist,69,116,127.0,Trumbull,CT,1000,501,15,1,1,0,0,0,1,0,0,0,1,0,0,0
data scientist,,Stride Search,Unknown,Data Scientist,69,116,127.0,San Francisco,CA,50,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
machine learning engineer,2.6,Software Engineering Institute,Colleges & Universities,Machine Learning Engineer,69,116,127.0,Pittsburgh,PA,1000,501,37,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,2.7,TBWA\Chiat\Day,Advertising & Marketing,Data Scientist,69,116,127.0,New York,NY,5000,1001,53,1,1,0,0,0,1,0,0,0,0,1,1,0
